keyword,fs_probability,ls_probability
盧秀燕,0.6666666666666666,0.0
進口,0.6666666666666666,0.0
美牛,0.3333333333333333,0.0
豬標章,0.3333333333333333,0.0
台灣,0.3333333333333333,0.0
市長,0.6666666666666666,0.0
立委,0.6666666666666666,0.0
當時,0.3333333333333333,0.0
開放,0.3333333333333333,0.0
標章,0.3333333333333333,0.0
農委會,0.0,0.0
台中,0.6666666666666666,0.0
2012年,0.3333333333333333,0.0
萊豬,1.0,0.0
民進黨,0.6666666666666666,0.0
反對,0.3333333333333333,0.0
政府,0.0,0.0
當年,0.3333333333333333,0.0
立法院,0.3333333333333333,0.0
今天,0.3333333333333333,0.0
